selection,run,generation,best_fitness,mean_fitness,dna_file
TOURNAMENT,2,133,167113.4810830798,47673.4386741437,
TOURNAMENT,2,134,167113.4810830798,46402.1992520903,
TOURNAMENT,2,135,167113.4810830798,42671.9262986246,tournament/run_02/best_snakes/generation_135.dna
TOURNAMENT,2,136,167113.4810830798,45636.3511097902,
TOURNAMENT,2,137,167113.4810830798,47004.8694781215,
TOURNAMENT,2,138,167113.4810830798,51526.6086105027,
TOURNAMENT,2,139,167113.4810830798,48281.0235938676,
TOURNAMENT,2,140,167113.4810830798,50630.8673920009,tournament/run_02/best_snakes/generation_140.dna
TOURNAMENT,2,141,167113.4810830798,48760.5174530705,
TOURNAMENT,2,142,167113.4810830798,52078.5018734569,
TOURNAMENT,2,143,167113.4810830798,55072.6169058778,
TOURNAMENT,2,144,167113.4810830798,53683.8715621378,
TOURNAMENT,2,145,167113.4810830798,48058.2510839626,tournament/run_02/best_snakes/generation_145.dna
TOURNAMENT,2,146,167113.4810830798,50911.9457647718,
TOURNAMENT,2,147,167113.4810830798,49363.0581326025,
TOURNAMENT,2,148,167113.4810830798,54901.0061066047,
TOURNAMENT,2,149,167113.4810830798,50923.8308830825,
TOURNAMENT,2,150,167113.4810830798,47835.6655053402,tournament/run_02/best_snakes/generation_150.dna
TOURNAMENT,2,151,167113.4810830798,47923.7888694267,
TOURNAMENT,2,152,167113.4810830798,50370.7226632189,
TOURNAMENT,2,153,167113.4810830798,42174.5066189064,
TOURNAMENT,2,154,167113.4810830798,45501.5897737925,
TOURNAMENT,3,0,20916.0475185729,2441.2506746522,tournament/run_03/best_snakes/generation_000.dna
TOURNAMENT,3,1,31146.4773700726,3465.1512945568,
TOURNAMENT,3,2,38071.4709629135,4998.7222463981,
TOURNAMENT,3,3,38071.4709629135,4842.6714884677,
TOURNAMENT,3,4,47409.5218994714,6569.6751861123,
TOURNAMENT,3,5,58176.4499591826,9485.7857352383,tournament/run_03/best_snakes/generation_005.dna
TOURNAMENT,3,6,70248.9973959681,10288.0796670384,
TOURNAMENT,3,7,70248.9973959681,11069.7366513952,
TOURNAMENT,3,8,70248.9973959681,13074.2905485492,
TOURNAMENT,3,9,70248.9973959681,15659.7860961733,
TOURNAMENT,3,10,70248.9973959681,19927.2001117679,tournament/run_03/best_snakes/generation_010.dna
TOURNAMENT,3,11,70248.9973959681,19942.2247234394,
TOURNAMENT,3,12,70248.9973959681,23718.7943454887,
TOURNAMENT,3,13,75404.4612000472,26787.4646435946,
TOURNAMENT,3,14,75404.4612000472,23798.9323695523,
TOURNAMENT,3,15,83953.6368677778,27471.1247457933,tournament/run_03/best_snakes/generation_015.dna
TOURNAMENT,3,16,98401.0989288255,31866.8549807739,
TOURNAMENT,3,17,98401.0989288255,32290.5797836489,
TOURNAMENT,3,18,108302.5798795168,36102.4021921832,
TOURNAMENT,3,19,108302.5798795168,31972.0459584575,
TOURNAMENT,3,20,108302.5798795168,38505.6089874197,tournament/run_03/best_snakes/generation_020.dna
TOURNAMENT,3,21,108302.5798795168,35056.5732775314,
TOURNAMENT,3,22,108302.5798795168,38886.9478047922,
TOURNAMENT,3,23,108350.5121832561,41913.5808013597,
TOURNAMENT,3,24,108350.5121832561,45193.7839445330,
TOURNAMENT,3,25,108350.5121832561,45378.5000072492,tournament/run_03/best_snakes/generation_025.dna
TOURNAMENT,3,26,108350.5121832561,45213.0928331795,
TOURNAMENT,3,27,108350.5121832561,46219.5055383632,
TOURNAMENT,3,28,108350.5121832561,50930.0322564003,
TOURNAMENT,3,29,108350.5121832561,49992.8125676078,
TOURNAMENT,3,30,111353.1744899511,49404.5366602446,tournament/run_03/best_snakes/generation_030.dna
TOURNAMENT,3,31,111353.1744899511,48744.7025501358,
TOURNAMENT,3,32,111353.1744899511,44390.8839115730,
TOURNAMENT,3,33,111353.1744899511,48202.7731312350,
TOURNAMENT,3,34,111353.1744899511,52653.0192729799,
TOURNAMENT,3,35,111353.1744899511,49353.8189851620,tournament/run_03/best_snakes/generation_035.dna
TOURNAMENT,3,36,111353.1744899511,52674.9673363417,
TOURNAMENT,3,37,111353.1744899511,50387.8607032327,
TOURNAMENT,3,38,150386.5594278699,55482.7332347259,
TOURNAMENT,3,39,150386.5594278699,54398.5171367209,
TOURNAMENT,3,40,150386.5594278699,52509.7094156764,tournament/run_03/best_snakes/generation_040.dna
TOURNAMENT,3,41,150386.5594278699,48252.0722724261,
TOURNAMENT,3,42,150386.5594278699,47770.0664618331,
TOURNAMENT,3,43,150386.5594278699,49319.2651447954,
TOURNAMENT,3,44,150386.5594278699,53662.4886495743,
TOURNAMENT,3,45,150386.5594278699,48461.4607236513,tournament/run_03/best_snakes/generation_045.dna
TOURNAMENT,3,46,150386.5594278699,53279.3203624294,
TOURNAMENT,3,47,150386.5594278699,57230.2612179026,
TOURNAMENT,3,48,160745.9075235006,57328.9103807442,
TOURNAMENT,3,49,160745.9075235006,58008.9289731156,
TOURNAMENT,3,50,160745.9075235006,57071.3886769473,tournament/run_03/best_snakes/generation_050.dna
TOURNAMENT,3,51,160745.9075235006,60008.0150063697,
TOURNAMENT,3,52,160745.9075235006,57159.3281258774,
TOURNAMENT,3,53,160745.9075235006,55565.0485130377,
TOURNAMENT,3,54,160745.9075235006,54833.3401691601,
TOURNAMENT,3,55,160745.9075235006,52637.2459115440,tournament/run_03/best_snakes/generation_055.dna
TOURNAMENT,3,56,160745.9075235006,55932.3318233206,
